% of respondents that “agree”,Opinion on products and services using AI,Year,source_file,Country,"% of respondents that ""Agree""",Statement,% agreeing with statement,pp. change
,,,fig_8.1.5.csv,Argentina,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,2%
,,,fig_8.1.5.csv,Argentina,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,3%
,,,fig_8.1.5.csv,Argentina,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-1%
,,,fig_8.1.5.csv,Argentina,,I trust that companies that use  artificial intelligence will protect  my personal data ,,1%
,,,fig_8.1.5.csv,Argentina,,Products and services using  artificial intelligence  make me excited ,,6%
,,,fig_8.1.5.csv,Argentina,,Products and services using artificial  intelligence make me nervous ,,0%
,,,fig_8.1.5.csv,Argentina,,I know which types of products and  services use artificial intelligence ,,7%
,,,fig_8.1.5.csv,Argentina,,I have a good understanding of what  artificial intelligence is ,,4%
,,,fig_8.1.5.csv,Australia,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-2%
,,,fig_8.1.5.csv,Australia,,I have a good understanding of what  artificial intelligence is ,,4%
,,,fig_8.1.5.csv,Australia,,I know which types of products and  services use artificial intelligence ,,0%
,,,fig_8.1.5.csv,Australia,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,0%
,,,fig_8.1.5.csv,Australia,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-1%
,,,fig_8.1.5.csv,Australia,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-6%
,,,fig_8.1.5.csv,Australia,,Products and services using  artificial intelligence  make me excited ,,-1%
,,,fig_8.1.5.csv,Australia,,Products and services using artificial  intelligence make me nervous ,,-4%
,,,fig_8.1.5.csv,Belgium,,Products and services using artificial  intelligence make me nervous ,,1%
,,,fig_8.1.5.csv,Belgium,,I know which types of products and  services use artificial intelligence ,,2%
,,,fig_8.1.5.csv,Belgium,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,3%
,,,fig_8.1.5.csv,Belgium,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,8%
,,,fig_8.1.5.csv,Belgium,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-3%
,,,fig_8.1.5.csv,Belgium,,I trust that companies that use  artificial intelligence will protect  my personal data ,,0%
,,,fig_8.1.5.csv,Belgium,,Products and services using  artificial intelligence  make me excited ,,-1%
,,,fig_8.1.5.csv,Belgium,,I have a good understanding of what  artificial intelligence is ,,8%
,,,fig_8.1.5.csv,Brazil,,I have a good understanding of what  artificial intelligence is ,,-9%
,,,fig_8.1.5.csv,Brazil,,I know which types of products and  services use artificial intelligence ,,-5%
,,,fig_8.1.5.csv,Brazil,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-9%
,,,fig_8.1.5.csv,Brazil,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-7%
,,,fig_8.1.5.csv,Brazil,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-9%
,,,fig_8.1.5.csv,Brazil,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-11%
,,,fig_8.1.5.csv,Brazil,,Products and services using  artificial intelligence  make me excited ,,-9%
,,,fig_8.1.5.csv,Brazil,,Products and services using artificial  intelligence make me nervous ,,-4%
,,,fig_8.1.5.csv,Canada,,I have a good understanding of what  artificial intelligence is ,,6%
,,,fig_8.1.5.csv,Canada,,I know which types of products and  services use artificial intelligence ,,-2%
,,,fig_8.1.5.csv,Canada,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,2%
,,,fig_8.1.5.csv,Canada,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,6%
,,,fig_8.1.5.csv,Canada,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-3%
,,,fig_8.1.5.csv,Canada,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-6%
,,,fig_8.1.5.csv,Canada,,Products and services using  artificial intelligence  make me excited ,,0%
,,,fig_8.1.5.csv,Canada,,Products and services using artificial  intelligence make me nervous ,,0%
,,,fig_8.1.5.csv,Chile,,I know which types of products and  services use artificial intelligence ,,-4%
,,,fig_8.1.5.csv,Chile,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-3%
,,,fig_8.1.5.csv,Chile,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-1%
,,,fig_8.1.5.csv,Chile,,Products and services using  artificial intelligence  make me excited ,,-4%
,,,fig_8.1.5.csv,Chile,,Products and services using artificial  intelligence make me nervous ,,-3%
,,,fig_8.1.5.csv,Chile,,I have a good understanding of what  artificial intelligence is ,,-4%
,,,fig_8.1.5.csv,Chile,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-1%
,,,fig_8.1.5.csv,Chile,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-2%
,,,fig_8.1.5.csv,Colombia,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,9%
,,,fig_8.1.5.csv,Colombia,,Products and services using artificial  intelligence make me nervous ,,2%
,,,fig_8.1.5.csv,Colombia,,Products and services using  artificial intelligence  make me excited ,,1%
,,,fig_8.1.5.csv,Colombia,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-3%
,,,fig_8.1.5.csv,Colombia,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,5%
,,,fig_8.1.5.csv,Colombia,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,1%
,,,fig_8.1.5.csv,Colombia,,I know which types of products and  services use artificial intelligence ,,6%
,,,fig_8.1.5.csv,Colombia,,I have a good understanding of what  artificial intelligence is ,,-2%
,,,fig_8.1.5.csv,France,,I trust that companies that use  artificial intelligence will protect  my personal data ,,2%
,,,fig_8.1.5.csv,France,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,3%
,,,fig_8.1.5.csv,France,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,5%
,,,fig_8.1.5.csv,France,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,2%
,,,fig_8.1.5.csv,France,,I know which types of products and  services use artificial intelligence ,,3%
,,,fig_8.1.5.csv,France,,I have a good understanding of what  artificial intelligence is ,,3%
,,,fig_8.1.5.csv,France,,Products and services using  artificial intelligence  make me excited ,,3%
,,,fig_8.1.5.csv,France,,Products and services using artificial  intelligence make me nervous ,,-3%
,,,fig_8.1.5.csv,Germany,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-1%
,,,fig_8.1.5.csv,Germany,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,2%
,,,fig_8.1.5.csv,Germany,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,6%
,,,fig_8.1.5.csv,Germany,,I know which types of products and  services use artificial intelligence ,,1%
,,,fig_8.1.5.csv,Germany,,I have a good understanding of what  artificial intelligence is ,,-1%
,,,fig_8.1.5.csv,Germany,,Products and services using  artificial intelligence  make me excited ,,3%
,,,fig_8.1.5.csv,Germany,,Products and services using artificial  intelligence make me nervous ,,-2%
,,,fig_8.1.5.csv,Germany,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,1%
,,,fig_8.1.5.csv,Great Britain,,I have a good understanding of what  artificial intelligence is ,,-1%
,,,fig_8.1.5.csv,Great Britain,,Products and services using artificial  intelligence make me nervous ,,-1%
,,,fig_8.1.5.csv,Great Britain,,I know which types of products and  services use artificial intelligence ,,-2%
,,,fig_8.1.5.csv,Great Britain,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,3%
,,,fig_8.1.5.csv,Great Britain,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,0%
,,,fig_8.1.5.csv,Great Britain,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-2%
,,,fig_8.1.5.csv,Great Britain,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-1%
,,,fig_8.1.5.csv,Great Britain,,Products and services using  artificial intelligence  make me excited ,,-3%
,,,fig_8.1.5.csv,Hungary,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,2%
,,,fig_8.1.5.csv,Hungary,,Products and services using  artificial intelligence  make me excited ,,1%
,,,fig_8.1.5.csv,Hungary,,I know which types of products and  services use artificial intelligence ,,3%
,,,fig_8.1.5.csv,Hungary,,I have a good understanding of what  artificial intelligence is ,,2%
,,,fig_8.1.5.csv,Hungary,,I trust that companies that use  artificial intelligence will protect  my personal data ,,4%
,,,fig_8.1.5.csv,Hungary,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-2%
,,,fig_8.1.5.csv,Hungary,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,1%
,,,fig_8.1.5.csv,Hungary,,Products and services using artificial  intelligence make me nervous ,,-2%
,,,fig_8.1.5.csv,India,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,0%
,,,fig_8.1.5.csv,India,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,0%
,,,fig_8.1.5.csv,India,,I know which types of products and  services use artificial intelligence ,,0%
,,,fig_8.1.5.csv,India,,I have a good understanding of what  artificial intelligence is ,,0%
,,,fig_8.1.5.csv,India,,Products and services using  artificial intelligence  make me excited ,,-3%
,,,fig_8.1.5.csv,India,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-4%
,,,fig_8.1.5.csv,India,,Products and services using artificial  intelligence make me nervous ,,-6%
,,,fig_8.1.5.csv,India,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-3%
,,,fig_8.1.5.csv,Indonesia,,Products and services using  artificial intelligence  make me excited ,,1%
,,,fig_8.1.5.csv,Indonesia,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-7%
,,,fig_8.1.5.csv,Indonesia,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,1%
,,,fig_8.1.5.csv,Indonesia,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-1%
,,,fig_8.1.5.csv,Indonesia,,I know which types of products and  services use artificial intelligence ,,4%
,,,fig_8.1.5.csv,Indonesia,,I have a good understanding of what  artificial intelligence is ,,2%
,,,fig_8.1.5.csv,Indonesia,,Products and services using artificial  intelligence make me nervous ,,0%
,,,fig_8.1.5.csv,Indonesia,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-2%
,,,fig_8.1.5.csv,Ireland,,I trust that companies that use  artificial intelligence will protect  my personal data ,,3%
,,,fig_8.1.5.csv,Ireland,,Products and services using artificial  intelligence make me nervous ,,5%
,,,fig_8.1.5.csv,Ireland,,Products and services using  artificial intelligence  make me excited ,,2%
,,,fig_8.1.5.csv,Ireland,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,1%
,,,fig_8.1.5.csv,Ireland,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,5%
,,,fig_8.1.5.csv,Ireland,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,10%
,,,fig_8.1.5.csv,Ireland,,I have a good understanding of what  artificial intelligence is ,,8%
,,,fig_8.1.5.csv,Ireland,,I know which types of products and  services use artificial intelligence ,,4%
,,,fig_8.1.5.csv,Italy,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-3%
,,,fig_8.1.5.csv,Italy,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-3%
,,,fig_8.1.5.csv,Italy,,I know which types of products and  services use artificial intelligence ,,1%
,,,fig_8.1.5.csv,Italy,,I have a good understanding of what  artificial intelligence is ,,-2%
,,,fig_8.1.5.csv,Italy,,Products and services using  artificial intelligence  make me excited ,,-1%
,,,fig_8.1.5.csv,Italy,,Products and services using artificial  intelligence make me nervous ,,-7%
,,,fig_8.1.5.csv,Italy,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,2%
,,,fig_8.1.5.csv,Italy,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-1%
,,,fig_8.1.5.csv,Japan,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,7%
,,,fig_8.1.5.csv,Japan,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-2%
,,,fig_8.1.5.csv,Japan,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-4%
,,,fig_8.1.5.csv,Japan,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-4%
,,,fig_8.1.5.csv,Japan,,Products and services using  artificial intelligence  make me excited ,,-4%
,,,fig_8.1.5.csv,Japan,,Products and services using artificial  intelligence make me nervous ,,1%
,,,fig_8.1.5.csv,Japan,,I have a good understanding of what  artificial intelligence is ,,1%
,,,fig_8.1.5.csv,Japan,,I know which types of products and  services use artificial intelligence ,,2%
,,,fig_8.1.5.csv,Malaysia,,Products and services using  artificial intelligence  make me excited ,,-5%
,,,fig_8.1.5.csv,Malaysia,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-8%
,,,fig_8.1.5.csv,Malaysia,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-6%
,,,fig_8.1.5.csv,Malaysia,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-7%
,,,fig_8.1.5.csv,Malaysia,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-6%
,,,fig_8.1.5.csv,Malaysia,,I know which types of products and  services use artificial intelligence ,,-7%
,,,fig_8.1.5.csv,Malaysia,,I have a good understanding of what  artificial intelligence is ,,-4%
,,,fig_8.1.5.csv,Malaysia,,Products and services using artificial  intelligence make me nervous ,,-5%
,,,fig_8.1.5.csv,Mexico,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,5%
,,,fig_8.1.5.csv,Mexico,,I have a good understanding of what  artificial intelligence is ,,5%
,,,fig_8.1.5.csv,Mexico,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,2%
,,,fig_8.1.5.csv,Mexico,,I know which types of products and  services use artificial intelligence ,,4%
,,,fig_8.1.5.csv,Mexico,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-2%
,,,fig_8.1.5.csv,Mexico,,Products and services using  artificial intelligence  make me excited ,,-4%
,,,fig_8.1.5.csv,Mexico,,Products and services using artificial  intelligence make me nervous ,,0%
,,,fig_8.1.5.csv,Mexico,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,4%
,,,fig_8.1.5.csv,Netherlands,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-2%
,,,fig_8.1.5.csv,Netherlands,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-3%
,,,fig_8.1.5.csv,Netherlands,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,0%
,,,fig_8.1.5.csv,Netherlands,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-3%
,,,fig_8.1.5.csv,Netherlands,,I know which types of products and  services use artificial intelligence ,,-4%
,,,fig_8.1.5.csv,Netherlands,,I have a good understanding of what  artificial intelligence is ,,-1%
,,,fig_8.1.5.csv,Netherlands,,Products and services using artificial  intelligence make me nervous ,,-1%
,,,fig_8.1.5.csv,Netherlands,,Products and services using  artificial intelligence  make me excited ,,-1%
,,,fig_8.1.5.csv,New Zealand,,Products and services using artificial  intelligence make me nervous ,,3%
,,,fig_8.1.5.csv,New Zealand,,I have a good understanding of what  artificial intelligence is ,,6%
,,,fig_8.1.5.csv,New Zealand,,I know which types of products and  services use artificial intelligence ,,5%
,,,fig_8.1.5.csv,New Zealand,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,2%
,,,fig_8.1.5.csv,New Zealand,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,3%
,,,fig_8.1.5.csv,New Zealand,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-2%
,,,fig_8.1.5.csv,New Zealand,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-2%
,,,fig_8.1.5.csv,New Zealand,,Products and services using  artificial intelligence  make me excited ,,0%
,,,fig_8.1.5.csv,Peru,,I know which types of products and  services use artificial intelligence ,,0%
,,,fig_8.1.5.csv,Peru,,I have a good understanding of what  artificial intelligence is ,,6%
,,,fig_8.1.5.csv,Peru,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,2%
,,,fig_8.1.5.csv,Peru,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,0%
,,,fig_8.1.5.csv,Peru,,Products and services using  artificial intelligence  make me excited ,,-4%
,,,fig_8.1.5.csv,Peru,,Products and services using artificial  intelligence make me nervous ,,3%
,,,fig_8.1.5.csv,Peru,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,1%
,,,fig_8.1.5.csv,Peru,,I trust that companies that use  artificial intelligence will protect  my personal data ,,2%
,,,fig_8.1.5.csv,Poland,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-10%
,,,fig_8.1.5.csv,Poland,,I know which types of products and  services use artificial intelligence ,,0%
,,,fig_8.1.5.csv,Poland,,Products and services using  artificial intelligence  make me excited ,,-6%
,,,fig_8.1.5.csv,Poland,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-5%
,,,fig_8.1.5.csv,Poland,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-2%
,,,fig_8.1.5.csv,Poland,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-5%
,,,fig_8.1.5.csv,Poland,,I have a good understanding of what  artificial intelligence is ,,-1%
,,,fig_8.1.5.csv,Poland,,Products and services using artificial  intelligence make me nervous ,,-1%
,,,fig_8.1.5.csv,Singapore,,I have a good understanding of what  artificial intelligence is ,,0%
,,,fig_8.1.5.csv,Singapore,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,1%
,,,fig_8.1.5.csv,Singapore,,I know which types of products and  services use artificial intelligence ,,0%
,,,fig_8.1.5.csv,Singapore,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-3%
,,,fig_8.1.5.csv,Singapore,,I trust that companies that use  artificial intelligence will protect  my personal data ,,2%
,,,fig_8.1.5.csv,Singapore,,Products and services using artificial  intelligence make me nervous ,,3%
,,,fig_8.1.5.csv,Singapore,,Products and services using  artificial intelligence  make me excited ,,-1%
,,,fig_8.1.5.csv,Singapore,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,4%
,,,fig_8.1.5.csv,South Africa,,Products and services using  artificial intelligence  make me excited ,,2%
,,,fig_8.1.5.csv,South Africa,,Products and services using artificial  intelligence make me nervous ,,1%
,,,fig_8.1.5.csv,South Africa,,I trust that companies that use  artificial intelligence will protect  my personal data ,,4%
,,,fig_8.1.5.csv,South Africa,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,6%
,,,fig_8.1.5.csv,South Africa,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,6%
,,,fig_8.1.5.csv,South Africa,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,6%
,,,fig_8.1.5.csv,South Africa,,I have a good understanding of what  artificial intelligence is ,,-2%
,,,fig_8.1.5.csv,South Africa,,I know which types of products and  services use artificial intelligence ,,4%
,,,fig_8.1.5.csv,South Korea,,I have a good understanding of what  artificial intelligence is ,,-4%
,,,fig_8.1.5.csv,South Korea,,I know which types of products and  services use artificial intelligence ,,-3%
,,,fig_8.1.5.csv,South Korea,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-2%
,,,fig_8.1.5.csv,South Korea,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-2%
,,,fig_8.1.5.csv,South Korea,,Products and services using  artificial intelligence  make me excited ,,-3%
,,,fig_8.1.5.csv,South Korea,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-4%
,,,fig_8.1.5.csv,South Korea,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-3%
,,,fig_8.1.5.csv,South Korea,,Products and services using artificial  intelligence make me nervous ,,-3%
,,,fig_8.1.5.csv,Spain,,Products and services using artificial  intelligence make me nervous ,,-3%
,,,fig_8.1.5.csv,Spain,,I have a good understanding of what  artificial intelligence is ,,-1%
,,,fig_8.1.5.csv,Spain,,I know which types of products and  services use artificial intelligence ,,0%
,,,fig_8.1.5.csv,Spain,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,2%
,,,fig_8.1.5.csv,Spain,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-2%
,,,fig_8.1.5.csv,Spain,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,1%
,,,fig_8.1.5.csv,Spain,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-1%
,,,fig_8.1.5.csv,Spain,,Products and services using  artificial intelligence  make me excited ,,-4%
,,,fig_8.1.5.csv,Sweden,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,0%
,,,fig_8.1.5.csv,Sweden,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-3%
,,,fig_8.1.5.csv,Sweden,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,0%
,,,fig_8.1.5.csv,Sweden,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-4%
,,,fig_8.1.5.csv,Sweden,,I have a good understanding of what  artificial intelligence is ,,-2%
,,,fig_8.1.5.csv,Sweden,,I know which types of products and  services use artificial intelligence ,,3%
,,,fig_8.1.5.csv,Sweden,,Products and services using artificial  intelligence make me nervous ,,3%
,,,fig_8.1.5.csv,Sweden,,Products and services using  artificial intelligence  make me excited ,,3%
,,,fig_8.1.5.csv,Thailand,,I have a good understanding of what  artificial intelligence is ,,-3%
,,,fig_8.1.5.csv,Thailand,,I know which types of products and  services use artificial intelligence ,,-4%
,,,fig_8.1.5.csv,Thailand,,Products and services using  artificial intelligence  make me excited ,,-4%
,,,fig_8.1.5.csv,Thailand,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-3%
,,,fig_8.1.5.csv,Thailand,,Products and services using artificial  intelligence make me nervous ,,-4%
,,,fig_8.1.5.csv,Thailand,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-1%
,,,fig_8.1.5.csv,Thailand,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-9%
,,,fig_8.1.5.csv,Thailand,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,1%
,,,fig_8.1.5.csv,Turkey,,Products and services using  artificial intelligence  make me excited ,,-4%
,,,fig_8.1.5.csv,Turkey,,I have a good understanding of what  artificial intelligence is ,,1%
,,,fig_8.1.5.csv,Turkey,,I know which types of products and  services use artificial intelligence ,,-3%
,,,fig_8.1.5.csv,Turkey,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-5%
,,,fig_8.1.5.csv,Turkey,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-2%
,,,fig_8.1.5.csv,Turkey,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-10%
,,,fig_8.1.5.csv,Turkey,,Products and services using artificial  intelligence make me nervous ,,-1%
,,,fig_8.1.5.csv,Turkey,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-2%
,,,fig_8.1.5.csv,United States,,Products and services using artificial  intelligence make me nervous ,,1%
,,,fig_8.1.5.csv,United States,,I trust that companies that use  artificial intelligence will protect  my personal data ,,1%
,,,fig_8.1.5.csv,United States,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,2%
,,,fig_8.1.5.csv,United States,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,1%
,,,fig_8.1.5.csv,United States,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,2%
,,,fig_8.1.5.csv,United States,,I know which types of products and  services use artificial intelligence ,,4%
,,,fig_8.1.5.csv,United States,,I have a good understanding of what  artificial intelligence is ,,1%
,,,fig_8.1.5.csv,United States,,Products and services using  artificial intelligence  make me excited ,,-1%
